feature_id,feature_name,cxx_generation,controlling_macro_or_flag,metal1_x_behavior,metal2_x_behavior,metal3_x_behavior,metal4_0_behavior,metal4_1_cleanroom_behavior,cleanroom_implementation_rule
CXX11_AUTO,C++11 `auto` type deduction,C++11,`LangOptions::CPlusPlus11`,✅ Supported,✅ Supported,✅ Supported,✅ Supported,✅ Supported,Always active (`CPlusPlus11=1`)
CXX11_DECLTYPE,C++11 `decltype` & `decltype(auto)`,C++11/14,`__cpp_decltype 200707L` / `201304L`,✅ Supported,✅ Supported,✅ Supported,✅ Supported,✅ Supported,Always active in MSL type deduction
CXX11_LAMBDA,C++11 / C++14 Generic Lambdas,C++11/14,`__cpp_lambdas 200907L`,✅ Supported (`metal1.2+`),✅ Supported (`auto` params),✅ Supported,✅ Supported,✅ Supported,Enable generic lambdas (`auto` parameters) across all modern standards
CXX11_CONSTEXPR_BASIC,C++11 Basic `constexpr` functions,C++11,`__cpp_constexpr 200704`,✅ Supported (Single return only),✅ Supported,✅ Supported,✅ Supported,✅ Supported,Allow single-return `constexpr` functions in C++11 mode
CXX14_CONSTEXPR_GENERAL,C++14 Generalized `constexpr` (loops/vars),C++14,`__cpp_constexpr 201304L`,❌ Rejected (`constant expression error`),✅ Supported,✅ Supported,✅ Supported,✅ Supported,Unlock loop control flow and local variable mutation inside `constexpr` starting in `metal2.0+`
CXX14_VAR_TEMPLATES,C++14 Variable Templates,C++14,`__cpp_variable_templates 201304L`,❌ Rejected (`C++14 extension`),✅ Supported,✅ Supported,✅ Supported,✅ Supported,Enable `template<typename T> constexpr T pi = ...` inside `metal2.0+`
CXX14_BINARY_LITERALS,C++14 Binary Literals (`0b1010`),C++14,`__cpp_binary_literals 201304L`,❌ Rejected (`C++14 extension`),✅ Supported,✅ Supported,✅ Supported,✅ Supported,Enable `0b` / `0B` literal prefix lexing starting in `metal2.0+`
CXX17_IF_CONSTEXPR,C++17 `if constexpr` static branching,C++17,`__cpp_if_constexpr 201606L`,✅ Backported by `metalfe`,✅ Backported by `metalfe`,✅ Backported by `metalfe`,✅ Standard (`__cplusplus 201703L`),✅ Standard,Enable `if constexpr` (`CPlusPlus17` branch evaluation) uniformly across MSL standards for header metaprogramming
CXX17_STRUCTURED_BINDINGS,"C++17 Structured Bindings (`auto [u,v]`)",C++17,`__cpp_structured_bindings 201606L`,✅ Backported by `metalfe`,✅ Backported by `metalfe`,✅ Backported by `metalfe`,✅ Standard,✅ Standard,"Enable `auto [x,y] = struct_var` unpacking across modern MSL standards"
CXX17_FOLD_EXPRESSIONS,C++17 Fold Expressions (`(args + ...)`),C++17,`__cpp_fold_expressions 201603L`,✅ Backported by `metalfe`,✅ Backported by `metalfe`,✅ Backported by `metalfe`,✅ Standard,✅ Standard,Enable variadic fold expressions across all modern MSL standards
CXX17_INLINE_VARIABLES,C++17 `inline` variables in headers,C++17,`__cpp_inline_variables 201606L`,✅ Backported by `metalfe`,✅ Backported by `metalfe`,✅ Backported by `metalfe`,✅ Standard,✅ Standard,Enable `inline constant T var = ...` definitions inside stdlib headers without ODR violations
CXX20_CONCEPTS,MSL C++17 Restriction: C++20 `concepts` & `requires`,Architecture Restriction,`__cpp_concepts`,❌ Rejected across Apple `metal1.1..4.0`,❌ Rejected across Apple `metal1.1..4.0`,❌ Rejected across Apple `metal1.1..4.0`,❌ Rejected across Apple `metal1.1..4.0`,❌ Rejected (`metal4.1` is C++17-based per §1.5),Hard semantic error (`unknown type name 'concept'`); rejected in C++17-based `metal4.1` per specification §1.5
MSL_RESTRICT_VIRTUAL,MSL Restriction: Virtual Functions,MSL Spec Rule,`SEMA-CXX-001`,🚫 Rejected (`virtual functions not allowed`),🚫 Rejected (`virtual functions not allowed`),🚫 Rejected (`virtual functions not allowed`),🚫 Rejected (`virtual functions not allowed`),🚫 Rejected (`virtual functions not allowed`),Hard semantic error when `virtual` keyword is encountered inside any class/struct (`Sema::CheckMSLClassDecl`)
MSL_RESTRICT_EXCEPTIONS,MSL Restriction: C++ Exceptions,MSL Spec Rule,`SEMA-CXX-002`,🚫 Rejected (`cannot use 'try' with exceptions disabled`),🚫 Rejected (`cannot use 'try' with exceptions disabled`),🚫 Rejected (`cannot use 'try' with exceptions disabled`),🚫 Rejected (`cannot use 'try' with exceptions disabled`),🚫 Rejected (`cannot use 'try' with exceptions disabled`),"Hard semantic error when `try`, `catch`, or `throw` token is encountered (`Sema::ActOnCXXTryBlock`)"
MSL_RESTRICT_RTTI,MSL Restriction: Dynamic Cast (`dynamic_cast`),MSL Spec Rule,`SEMA-CXX-003`,🚫 Rejected (`use of dynamic_cast requires -frtti`),🚫 Rejected (`use of dynamic_cast requires -frtti`),🚫 Rejected (`use of dynamic_cast requires -frtti`),🚫 Rejected (`use of dynamic_cast requires -frtti`),🚫 Rejected (`use of dynamic_cast requires -frtti`),Hard semantic error when `dynamic_cast` expression is parsed (`Sema::ActOnCXXTypeConstructExpr`)
MSL_RESTRICT_HEAP,MSL Restriction: Dynamic Heap Allocation,MSL Spec Rule,`SEMA-CXX-004`,🚫 Rejected (`new / delete operators not permitted in Metal`),🚫 Rejected (`new / delete operators not permitted in Metal`),🚫 Rejected (`new / delete operators not permitted in Metal`),🚫 Rejected (`new / delete operators not permitted in Metal`),🚫 Rejected (`new / delete operators not permitted in Metal`),Hard semantic error when `new` or `delete` operator expression is parsed (`Sema::ActOnCXXNewDeleteExpr`)
