chapter_num,chapter_name,sub_topic,target_feature_or_symbol,apple_clang_observed_behavior,cleanroom_implementation_rule,source_reference
1,Frontend,Lexer / Token / Keywords,"`kernel`, `vertex`, `fragment`, `device`, `constant`, `threadgroup`, `ray_data`",Keyword tokens `tok::kw_kernel` etc. active when `-x metal` (`LangOpts.Metal=1`) is passed to `metalfe` / `-cc1`,Register tokens in `IdentifierTable` when `LangOptions::Metal` is set; assign address space qualifiers directly on `device` etc.,data/metal_parser_impl_map.csv
1,Frontend,Preprocessor / Macros,"`__HAVE_TEXTURE_CUBE_ARRAY__`, `__HAVE_RAYTRACING__`, `__HAVE_MESH__`, `__HAVE_COHERENT__`, `__HAVE_METAL4_1__`",Automatically defined during `TargetInfo::getTargetDefines()` based on `-std=metalX.Y` and target triple,Clean-room preprocessor injects exactly the macros defined in `legacy_metal_support_map.csv` for each target/version pair,data/legacy_metal_support_map.csv
1,Frontend,Parser / Attribute Syntax,"`[[buffer(N)]]`, `[[texture(N)]]`, `[[thread_position_in_grid]]`, `[[stage_in]]`",Double-bracket C++11 attribute parsing (`Parser::ParseCXX11Attributes`); evaluates IntegerLiteral argument `N`,Construct exact `MetalBufferIndexAttr` (`ATTR_METAL_BUFFER_INDEX`) etc. on `ParmVarDecl` (`metal_ast_attribute_matrix.csv`),data/metal_ast_attribute_matrix.csv
1,Frontend,Sema / Overload / AS Conversion,Implicit address space casting (`device T*` -> `T*`) and vector size mismatches,Rejects non-generic space to non-generic space cast without explicit cast; enforces exact vector size (`float3` vs `float4`),Enforce address space conversion checking inside `Sema::CheckAssignmentConstraints` (`metal_sema_impl_map.csv`),data/metal_sema_impl_map.csv
1,Frontend,AST Generation Rules,30 AST Attribute Nodes (`Metal*Attr`) + `ImplicitCastExpr (CK_AddressSpaceConversion)`,Dumps clean C++ AST hierarchy via `-Xclang -ast-dump -fsyntax-only` (`Root: TranslationUnitDecl | 45 inner decls`),Serialize exact AST attribute IDs into Clang AST bitcode for LTO / PCH compatibility (`metal_ast_generation_map.csv`),data/metal_ast_generation_map.csv
2,CodeGen,CodeGenModule / Metadata,"`!air.version`, `!air.language_version`, `!air.compile_options`","`!air.version = !{i32 2, i32 8, i32 0}` (`2.8.0`); `!air.compile_options = !{!11, !12, !13}` when `-fmetal-math=fast`",Emit exact module metadata tuples inside `CodeGenModule::EmitModuleMetadata()` corresponding to `-std=` and target,data/metal_codegen_impl_map.csv
2,CodeGen,CodeGenFunction / Builtins,Call emission for `__metal_atomic_add...` -> `@air.atomic.global.add.u.i32`,`tail call fast <4 x i32> @air.atomic_exchange...` emitted directly from AST `CallExpr` of builtin prototype,Look up `builtin_to_air_map.v2.csv` (`686 rows`) during `EmitBuiltinExpr()` and generate matching AIR intrinsic call,data/builtin_to_air_map.v2.csv
2,CodeGen,CGTypes / Opaque Handles,"`%struct._texture_2d_t = type opaque`, `%struct._sampler_t = type opaque`",All 35 opaque `_t` handles emitted as `type opaque` in global LLVM type table (`type_layout_map.csv`),"Emit `llvm::StructType::create(Context, ""_texture_2d_t"")` as opaque handles during type lowering",data/type_layout_map.csv
2,CodeGen,Calling Conventions,`fastcc` / `air_kernel` calling convention and `!air.kernel` parameter descriptor blocks,"`define void @k(...) local_unnamed_addr #0` with `!air.kernel = !{!{void (...)* @k, !1, !2}}`","Attach `!air.kernel` argument binding metadata (`binding_type`, `slot_index`, `align`, `size`) to kernel entry definition",docs/METAL_CODEGEN_IMPL_MAP.md
3,Driver,Phases & Invocation (`-ccc-print-phases`),"`0: input, 1: preprocessor, 2: compiler, 3: backend, 4: assembler, 5: bind-arch`",`metal -c input.metal -o output.air` runs phases 0..4; `bind-arch air64_v28` produces `.air` object container,Clean-room `metal` driver replicates phases `input -> preprocessor -> ir -> bitcode -> metallib link` exactly,data/metal_driver_impl_map.csv
