category,feature_name,introduced_in_std,required_target_triple,guard_macro,affected_builtins_or_types,cleanroom_codegen_rule
version_specific,Cube Array Textures,metal1.1,air64_v20-apple-macosx10.11.0,__HAVE_TEXTURE_CUBE_ARRAY__,"texturecube_array<T>, sample, read, write, atomic_exchange",Enable `texturecube_array` opaque type layout and AIR sample/read/write intrinsics
version_specific,Texture Buffer (texture_buffer),metal2.1,air64_v21-apple-macosx10.14.0,__HAVE_TEXTURE_BUFFER__,"texture_buffer<T>, read, write, atomic_*_texture_buffer_1d_t",Enable `texture_buffer` opaque `_t` layout as1 and `air.atomic_*.texture_buffer_1d`
version_specific,Raytracing Acceleration Structure (AS1/AS2),metal2.3,air64_v23-apple-macosx11.0.0,__HAVE_RAYTRACING__,"primitive_acceleration_structure, instance_acceleration_structure, intersector<>, ray, intersection_query, intersection_result","Enable `__metal_intersection_query_t`, `!air.kernel` metadata `ray_data` address space"
version_specific,Sparse Textures (sparse_color),metal2.3,air64_v23-apple-macosx11.0.0,__HAVE_SPARSE_TEXTURES__,"sparse_color<T>, sparse_sample, sparse_read, __metal_sample_compare_*_grad",Emit struct `sparse_color` return type and `air.sparse_sample.*` calls
version_specific,Simdgroup Matrix 8x8 Operations,metal2.3,air64_v23-apple-macosx11.0.0,__HAVE_SIMDGROUP_MATRIX__,"simdgroup_matrix<T,C,R>, simdgroup_matrix_8x8_load/store/multiply_accumulate",Emit `air.simdgroup_matrix_8x8.*` intrinsics
version_specific,Pull Model Interpolation,metal2.3,air64_v23-apple-macosx11.0.0,__HAVE_PULL_MODEL_INTERPOLATION__,"interpolant<T,N>, interpolate_at_center, interpolate_at_centroid, interpolate_at_offset",Emit `air.interpolate.*` intrinsics with `interpolant` handle
version_specific,Function Constants & Specialized Pipelines,metal1.2,air64_v20-apple-macosx10.12.0,__HAVE_FUNCTION_CONSTANTS__,"function_constant<T>, is_function_constant_defined, function_handle",Emit `air.is_function_constant_defined` and specialized constant folding passes
version_specific,Mesh Shaders & Object Shaders,metal3.0,air64_v25-apple-macosx13.0.0,__HAVE_MESH__,"mesh<T,V,P>, payload<T>, mesh_grid_properties, set_primitive_count, set_vertex, set_index",Emit `!air.mesh` / `!air.object` entry metadata and `air.set_primitive_count`
version_specific,BFloat16 & Half Precision Math,metal3.0,air64_v25-apple-macosx13.0.0,__HAVE_BFLOAT__,"bfloat, half, __metal_fmax/fmin/fmedian3.bf16",Emit `.bf16` and `.f16` suffixed AIR arithmetic and conversion intrinsics
version_specific,Coherent Device Read-Write Textures,metal3.2,air64_v27-apple-macosx15.0.0,__HAVE_COHERENT__,"coherent(device) texture2d<T, access::read_write>, atomic_max/min ulong4",Emit device coherent memory fence flags and ulong4 texture atomic intrinsics
