feature_id,layer,feature,syntax_example,clang_impl_point,upstream_analog,evidence,source_ref,msl_since,implement_status,notes
FE-0001,lexer,address-space keyword `device`,device int *p,Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),opencl (__global/__constant 類),observed_header,metal_array;metal_atomic;metal_command_buffer;metal_functional,,verified,実ヘッダ出現 13 file
FE-0002,lexer,address-space keyword `constant`,constant int *p,Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),opencl (__global/__constant 類),observed_header,metal_array;metal_command_buffer;metal_cooperative_tensor;metal_functional,,verified,実ヘッダ出現 21 file
FE-0003,lexer,address-space keyword `threadgroup`,threadgroup int *p,Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),opencl (__global/__constant 類),observed_header,metal_array;metal_atomic;metal_functional;metal_matrix,,verified,実ヘッダ出現 10 file
FE-0004,lexer,address-space keyword `thread`,thread int *p,Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),opencl (__global/__constant 類),observed_header,metal_array;metal_atomic;metal_command_buffer;metal_cooperative_tensor,,verified,実ヘッダ出現 26 file
FE-0005,lexer,address-space keyword `ray_data`,ray_data int *p,Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),opencl (__global/__constant 類),observed_header,metal_array;metal_command_buffer;metal_functional;metal_matrix,,verified,実ヘッダ出現 10 file
FE-0006,lexer,address-space keyword `object_data`,object_data int *p,Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),opencl (__global/__constant 類),observed_header,metal_array;metal_command_buffer;metal_functional;metal_matrix,,verified,実ヘッダ出現 10 file
FE-0007,lexer,address-space keyword `threadgroup_imageblock`,threadgroup_imageblock int *p,Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),opencl (__global/__constant 類),observed_header,metal_array;metal_functional;metal_imageblocks;metal_matrix,,verified,実ヘッダ出現 8 file
FE-0008,lexer,address-space keyword `coherent`,coherent(device) int *p,Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),opencl (__global/__constant 類),observed_header,metal_array;metal_atomic;metal_command_buffer;metal_functional,,verified,実ヘッダ出現 11 file
FE-0009,lexer,function-class keyword `kernel`,kernel float4 f(),Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),hlsl (entry 修飾類),observed_header,,,verified,実ヘッダ出現 0 file
FE-0010,lexer,function-class keyword `vertex`,vertex float4 f(),Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),hlsl (entry 修飾類),observed_header,,,verified,実ヘッダ出現 0 file
