__metal_builtin,used_via,n_call_sites,air_intrinsic_candidate,evidence,status,stdlib_sample,evidence_source,evidence_ref,protocol,confidence,grammar_eligible,probe_cell,observed_at,verified_at,verified_by,last_change,changed_by
__metal_abort_intersection_query,method,1,air.abort_intersection_query.instancing.triangle_data,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),metal_raytracing:4383: __metal_abort_intersection_query(,xcode_probe_golden,golden/P08M40/metal40_macosx26/probe.ll @probe_p08m_iq_0: %1 = tail call %struct._intersection_query_t* @air.allocate_intersection_query.instancing.triangle_data() #11,P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_abort_intersection_query,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:23Z,promote_map.py@1.0.0
__metal_abs,free+method,48,air.abs.s.i8,observed_ir,✅AIR実シグネチャをIR解析で確認,metal_integer:15: return __metal_abs(x);,apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_absdiff,free+method,48,air.abs_diff.s.i8,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_integer:19: return __metal_absdiff(x, y);",xcode_probe_golden,"golden/P04/metal32_macosx26/probe.ll @probe_p04_absdiff: %3 = tail call i8 @air.abs_diff.s.i8(i8 %0, i8 %1) #2",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_absdiff,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:40Z,promote_map.py@1.0.0
__metal_acos,free+method,30,air.acos.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:30: return __metal_acos(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_acosh,free+method,30,air.acosh.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:34: return __metal_acosh(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_addsat,free+method,48,air.add_sat.s.i8,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_integer:23: return __metal_addsat(x, y);",xcode_probe_golden,"golden/P04/metal32_macosx26/probe.ll @probe_p04_addsat: %3 = tail call i8 @air.add_sat.s.i8(i8 %0, i8 %1) #2",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_addsat,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:40Z,promote_map.py@1.0.0
__metal_all,free+method,6,air.all.v3i1,observed_ir,✅AIR実シグネチャをIR解析で確認,metal_relational:736: return __metal_all(x);,apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_any,free+method,6,air.any.v3i1,observed_ir,✅AIR実シグネチャをIR解析で確認,metal_relational:740: return __metal_any(x);,apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_asin,free+method,30,air.asin.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:38: return __metal_asin(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_asinh,free+method,30,air.asinh.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:42: return __metal_asinh(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
