entity_path,entity_type,cleanroom_target_name,primary_builtins_or_symbols,feature_guards,cleanroom_implementation_spec
include/module.modulemap,header_module (.metal / .h),module.modulemap.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`module.modulemap.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/opencl-c-base.h,header_module (.metal / .h),opencl-c-base.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`opencl-c-base.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/opencl-c.h,header_module (.metal / .h),opencl-c.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`opencl-c.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/TargetConditionals.h,header_module (.metal / .h),TargetConditionals.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`TargetConditionals.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_array,header_module (.metal / .h),metal_array.metal,__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MESH__;__HAVE_RAYTRACING__,5,Standard MSL Header (`metal_array.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_assert,header_module (.metal / .h),metal_assert.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`metal_assert.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_atomic,header_module (.metal / .h),metal_atomic.metal,__HAVE_ATOMIC_BOOL__;__HAVE_ATOMIC_FENCE__;__HAVE_ATOMIC_FLOAT__;__HAVE_ATOMIC_TEMPLATE__;__HAVE_ATOMIC_ULONG_MIN_MAX__;__HAVE_ATOMIC_ULONG__;__HAVE_COHERENT__,7,Standard MSL Header (`metal_atomic.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_command_buffer,header_module (.metal / .h),metal_command_buffer.metal,__HAVE_COHERENT__;__HAVE_COMPUTE_COMMANDS_SET_IMAGEBLOCK_SIZE__;__HAVE_COMPUTE_COMMANDS__;__HAVE_COMPUTE_COMMAND_KERNEL_BUFFER_STRIDE__;__HAVE_GET_SIZE_COMMAND_BUFFER__;__HAVE_MESH__;__HAVE_RAYTRACING__;__HAVE_RENDER_COMMANDS__;__HAVE_RENDER_COMMAND_DEPTH_BIAS__;__HAVE_RENDER_COMMAND_DEPTH_CLIP_MODE__;__HAVE_RENDER_COMMAND_DEPTH_STENCIL_STATE__;__HAVE_RENDER_COMMAND_MESH__;__HAVE_RENDER_COMMAND_RENDERING__;__HAVE_RENDER_COMMAND_VERTEX_BUFFER_STRIDE__;__HAVE_RENDER_DRAW_PATCHES_TESSELLATION_FACTOR_SCALE__;__HAVE_RENDER_PIPELINE_STATE__,16,Standard MSL Header (`metal_command_buffer.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_common,header_module (.metal / .h),metal_common.metal,__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__,2,Standard MSL Header (`metal_common.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_compute,header_module (.metal / .h),metal_compute.metal,__HAVE_BARRIER_MEMORY_SCOPE__;__HAVE_COMPUTE_IMPROVED_INDIRECT__;__HAVE_DRAW_INDIRECT__;__HAVE_IMAGEBLOCKS__;__HAVE_MEMFLAG_OPERATORS__;__HAVE_MESH__;__HAVE_TEXTURE_READWRITE__,7,Standard MSL Header (`metal_compute.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_config,header_module (.metal / .h),metal_config.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`metal_config.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_cooperative_tensor,header_module (.metal / .h),metal_cooperative_tensor.metal,__HAVE_TENSOR__,1,Inline MSL Header (`metal_tensor.metal`) — テンソル演算・不透明構造体定義ラッパー
include/metal/metal_curves,header_module (.metal / .h),metal_curves.metal,__HAVE_RAYTRACING_CURVES__,1,Standard MSL Header (`metal_curves.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_extended_vector,header_module (.metal / .h),metal_extended_vector.metal,__HAVE_BFLOAT__;__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_SIMD_TYPES_PREFIX__,4,Standard MSL Header (`metal_extended_vector.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_functional,header_module (.metal / .h),metal_functional.metal,__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MESH__;__HAVE_RAYTRACING__,4,Standard MSL Header (`metal_functional.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_geometric,header_module (.metal / .h),metal_geometric.metal,__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__,2,Standard MSL Header (`metal_geometric.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_graphics,header_module (.metal / .h),metal_graphics.metal,__HAVE_DRAW_INDIRECT__;__HAVE_MESH__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_RAYTRACING__,4,Standard MSL Header (`metal_graphics.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_imageblocks,header_module (.metal / .h),metal_imageblocks.metal,__HAVE_IMAGEBLOCKS__;__HAVE_TEXTURE_CUBE_ARRAY__,2,Standard MSL Header (`metal_imageblocks.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_initializer_list,header_module (.metal / .h),metal_initializer_list.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`metal_initializer_list.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_integer,header_module (.metal / .h),metal_integer.metal,__HAVE_INTEGER_BIT_EDIT_FUNCTIONS__;__HAVE_INTEGER_LONG_FUNCTIONS__;__HAVE_MAD24__;__HAVE_MAX3__;__HAVE_MEDIAN3__;__HAVE_MIN3__;__HAVE_MUL24__;__HAVE_NATIVE_WIDE_VECTORS__,8,Standard MSL Header (`metal_integer.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
