__metal_builtin,used_via,n_call_sites,air_intrinsic_candidate,evidence,status,stdlib_sample
__metal_abort_intersection_query,method,1,air.abort.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4383: __metal_abort_intersection_query(
__metal_abs,free+method,48,air.abs.s.i8,observed_ir,✅AIR実シグネチャをIR解析で確認,metal_integer:15: return __metal_abs(x);
__metal_absdiff,free+method,48,air.absdiff,inferred,🧪命名規則からの推測 (probe必須),"metal_integer:19: return __metal_absdiff(x, y);"
__metal_acos,free+method,30,air.acos.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:30: return __metal_acos(x, __METAL_FAST_MATH__);"
__metal_acosh,free+method,30,air.acosh.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:34: return __metal_acosh(x, __METAL_FAST_MATH__);"
__metal_addsat,free+method,48,air.addsat,inferred,🧪命名規則からの推測 (probe必須),"metal_integer:23: return __metal_addsat(x, y);"
__metal_all,free+method,6,air.all.v3i1,observed_ir,✅AIR実シグネチャをIR解析で確認,metal_relational:736: return __metal_all(x);
__metal_any,free+method,6,air.any.v3i1,observed_ir,✅AIR実シグネチャをIR解析で確認,metal_relational:740: return __metal_any(x);
__metal_asin,free+method,30,air.asin.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:38: return __metal_asin(x, __METAL_FAST_MATH__);"
__metal_asinh,free+method,30,air.asinh.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:42: return __metal_asinh(x, __METAL_FAST_MATH__);"
__metal_atan,free+method,30,air.atan.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:46: return __metal_atan(y_over_x, __METAL_FAST_MATH__);"
__metal_atan2,free+method,30,air.atan2.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:50: return __metal_atan2(y, x, __METAL_FAST_MATH__);"
__metal_atanh,free+method,30,air.atanh.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:54: return __metal_atanh(x, __METAL_FAST_MATH__);"
__metal_atomic_compare_exchange_weak_explicit,method,2,air.atomic.compare.exchange.weak,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:349: bool swapped = __metal_atomic_compare_exchange_weak_explicit(&object->__s, &next_expected, decltype(ob"
__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t(derived.t, coo"
