syntax_example,ast_cxx_class_name,attachment_target,argument_requirement,air_metadata_or_codegen_effect,cleanroom_notes
[[kernel]],MetalKernelAttr,FunctionDecl (`kernel void`),No arguments,Emits `!air.kernel` metadata node and sets calling convention `fastcc` / `air_kernel`,Entry stage marker for compute kernels
[[vertex]],MetalVertexAttr,FunctionDecl (`vertex VertexOut`),No arguments,Emits `!air.vertex` metadata node and sets vertex shader calling convention,Entry stage marker for vertex shaders
[[fragment]],MetalFragmentAttr,FunctionDecl (`fragment half4`),No arguments,Emits `!air.fragment` metadata node and sets fragment shader calling convention,Entry stage marker for fragment shaders
[[buffer(N)]],MetalBufferIndexAttr,ParmVarDecl / FieldDecl,`int Index` (`IntegerLiteral N < 31`),"Maps parameter/field to argument buffer slot `#N` inside `!air.kernel` parameter descriptor (`!""buffer"", i32 N`)",Drives resource slot binding and `!air.buffer_size` metadata
[[texture(N)]],MetalTextureIndexAttr,ParmVarDecl / FieldDecl,`int Index` (`IntegerLiteral N < 128`),"Maps to texture binding slot `#N` inside argument metadata (`!""texture"", i32 N`)",Validates texture type (`texture2d` etc.) and index bounds
[[sampler(N)]],MetalSamplerIndexAttr,ParmVarDecl / FieldDecl,`int Index` (`IntegerLiteral N < 16`),"Maps to sampler binding slot `#N` inside argument metadata (`!""sampler"", i32 N`)",Validates sampler handle type and limits
[[threadgroup(N)]],MetalBufferIndexAttr,ParmVarDecl (`threadgroup T*`),`int Index` (`IntegerLiteral N < 31`),"Maps to shared memory (`LDS`) allocation slot `#N` in `!air.kernel` argument descriptor (`!""threadgroup_buffer"", i32 N`)",Uses `MetalBufferIndexAttr` internally with address space `as3` verification
[[stage_in]],MetalStageInAttr,ParmVarDecl (`FragIn in`),No arguments,Unpacks struct fields into vertex input layout or fragment interpolant registers during CodeGen,Validates struct field interface matching across pipeline stages
[[thread_position_in_grid]],MetalThreadPosGridAttr,ParmVarDecl (`uint3/uint2/uint`),No arguments,Injects system register read `air.get_global_id` (`s0..s2`) directly into kernel prologue,Builtin compute grid coordinate inquiry
[[thread_position_in_threadgroup]],MetalThreadPosGroupAttr,ParmVarDecl (`uint3/uint2/uint`),No arguments,Injects `air.get_local_id` system register read (`v0..v2` local coordinates),Builtin thread position inside SIMD group / threadgroup
[[thread_index_in_threadgroup]],MetalThreadIndexGroupAttr,ParmVarDecl (`uint/ushort`),No arguments,Injects `air.get_local_linear_id` (`tid.x + tid.y*dim.x + ...`) scalar calculation,1D flattened local thread index
[[threads_per_grid]],MetalThreadsPerGridAttr,ParmVarDecl (`uint3/uint2/uint`),No arguments,Injects `air.get_global_size` system register read (total compute grid dimensions),Inquires total dispatched grid threads
[[threads_per_threadgroup]],MetalThreadsPerGroupAttr,ParmVarDecl (`uint3/uint2/uint`),No arguments,Injects `air.get_local_size` system register read (threadgroup block dimensions),Inquires local block dimensions (`blockDim`)
[[threadgroups_per_grid]],MetalThreadGroupsPerGridAttr,ParmVarDecl (`uint3/uint2/uint`),No arguments,Injects `air.get_num_groups` system register read (number of threadgroups in grid),Inquires `gridDim`
[[dispatch_threads_per_grid]],MetalLocalIndexAttr,ParmVarDecl (`uint3/uint2/uint`),No arguments,Injects `__lowering_get_dispatch_threads` hook reading hidden dispatch metadata slot,Used when non-uniform threadgroup sizes are dispatched
[[grid_origin]],MetalStageInGridOriginAttr,ParmVarDecl (`uint3/uint2/uint`),No arguments,Injects `air.get_grid_origin` reading base coordinate offset of dispatch grid,Multi-GPU or tiled dispatch base coordinates
[[simdgroup_index_in_threadgroup]],MetalSIMDGroupIndexGroupAttr,ParmVarDecl (`uint/ushort`),No arguments,Injects `air.get_simdgroup_index` (wavefront index inside threadgroup `tid / 32`),Cooperative SIMD group identification
[[thread_index_in_simdgroup]],MetalThreadIndexSIMDGroupAttr,ParmVarDecl (`uint/ushort`),No arguments,Injects `air.get_simd_lane_id` (`laneid` / `tid % 32` / `sreg`),SIMD lane coordinate (`0..31` / `0..63`)
[[vertex_id]],MetalVertexIdAttr,ParmVarDecl (`uint/ushort`),No arguments,Injects `air.get_vertex_id` system input register read (`gl_VertexID`),Vertex shader invocation identifier
[[instance_id]],MetalInstanceIdAttr,ParmVarDecl (`uint/ushort`),No arguments,Injects `air.get_instance_id` system input register read (`gl_InstanceID`),Instanced draw call invocation identifier
[[position]],MetalPositionAttr,FieldDecl (`float4`),No arguments,Marks vertex position output or fragment pixel coordinate input (`gl_Position` / `gl_FragCoord`),Drives hardware rasterizer viewport transform and interpolation
[[color(N)]],MetalColorAttr,FieldDecl (`float4/half4/uint4`),`int Index N` (`0..7`),Maps struct field to framebuffer render target color attachment `#N` (`gl_FragColor[N]`),Validates return type against pixel format map (`PIXEL_FORMAT_MAP.md`)
[[point_size]],MetalPointSizeAttr,FieldDecl (`float/half`),No arguments,Marks point sprite point size output parameter (`gl_PointSize`),Drives point sprite expansion in rasterizer
[[clip_distance]],MetalClipDistanceAttr,FieldDecl (`float/float[N]`),Optional array size,Marks user clip plane distance output (`gl_ClipDistance`),Hardware clipping test evaluation
[[render_target_array_index]],MetalRenderTargetArrayIndexAttr,FieldDecl (`uint/int/ushort`),No arguments,Marks layered rendering slice destination index (`gl_Layer` / RT array slice),Selects texture array slice in geometry/vertex stage
[[viewport_array_index]],MetalViewportArrayIndexAttr,FieldDecl (`uint/int/ushort`),No arguments,Marks multi-viewport selection index (`gl_ViewportIndex`),Selects active viewport in hardware clipping stage
[[barycentric_coord]],MetalBarycentricCoordAttr,FieldDecl / ParmVarDecl (`float3/float2`),No arguments,"Injects sub-triangle barycentric coordinates `(u,v,w)` inside fragment shader (`gl_BaryCoord`)",Used for custom pull-model interpolation or wireframe rendering
[[front_facing]],MetalFrontFacingAttr,FieldDecl / ParmVarDecl (`bool`),No arguments,Injects triangle winding orientation boolean `is_front_facing` (`gl_FrontFacing`),Determines front vs back face hit
[[sample_id]],MetalSampleIdAttr,FieldDecl / ParmVarDecl (`uint`),No arguments,Injects MSAA subpixel sample invocation ID (`gl_SampleID`),Per-sample fragment shading evaluation
[[sample_mask]],MetalSampleMaskAttr,FieldDecl / ParmVarDecl (`uint`),No arguments,Injects / outputs MSAA coverage bitmask (`gl_SampleMask` / `gl_SampleMaskIn`),Drives multi-sample alpha coverage modification
[[user(locnN)]],MetalUserDefinedAttr,FieldDecl,`string locnN` / `int N`,Assigns explicit user-defined varying location `#N` between vertex and fragment stages,Guarantees link-time register matching between stages across distinct compilation units
