table,caption
Table 6.18,Quad-group reduction functions in the Metal standard library ................................ 230 Table 6.19. Derivatives fragment functions in the Metal standard library .................................. 235 Table 6.20. Samples fragment functions in the Metal standard library ...................................... 236 Table 6.21. Fragment flow control function in the Metal standard library ................................... 236 Table 6.22. Pull-Model interpolant methods .................................................................................. 237 Table 6.22. Supported block read dimensions .............................................................................. 243 Table 6.23. Cube face number ......................................................................................................... 261 Table 6.24. Unpack functions .......................................................................................................... 296 Table 6.25. Pack functions ............................................................................................................... 297 Table 6.26. Memory order enumeration values ............................................................................. 299 Table 6.27. Atomic operations ......................................................................................................... 307 Table 6.28. Atomic modify operations ............................................................................................ 307 Table 6.29. Intersect functions input parameters ........................................................................... 321 Table 6.30. Intersection query functions ........................................................................................ 336 Table 6.31. Intersection query functions with max_levels<Count> ...................................... 337 Table 6.32. Intersection query ray value functions ....................................................................... 337 Table 6.33. Intersection query candidate value functions ............................................................ 338 Table 6.34. Intersect query committed value functions ............................................................... 339 Table 6.35. Curve utility functions ................................................................................................... 345 Table 7.1. Execution scopes ............................................................................................................. 349 Table 7.2. TensorOps ........................................................................................................................ 350 Table 7.3. MatMul2D data type supported ...................................................................................... 351 Table 7.4. MatMul2D descriptor parameters ................................................................................. 354 Table 7.5. MatMul2D member functions ......................................................................................... 355 Table 7.6. Reduction related functions for cooperative tensors .................................................. 360 Table 7.7. Convolution2d parameters ............................................................................................. 366 Table 7.8. Convolution run parameter ............................................................................................. 367 Table 8.1. Accuracy of single-precision floating-point operations and functions ..................... 368 Table 8.2. Accuracy of single-precision operations and functions with fast math enabled ..... 370 Table 8.3. Accuracy of half-precision floating-point operations and functions ......................... 373 Table 8.4. Accuracy of brain floating-point operations and functions ........................................ 375 Table 8.5. Accuracy of brain floating-point operations and functions with fast math enabled 375 Table 8.6. Conversion to a normalized float value ......................................................................... 377 Table 8.7. Conversion from floating-point to a normalized integer value ................................... 378 Table 8.8. Conversion between integer pixel data types .............................................................. 380
Table 2.13,"Mesh static members Member variable Description uint max_vertices The maximum number of vertices in the mesh (NV). uint max_primitive  The maximum number of primitives in the mesh (NP). uint indices_per_primitive The number of indices per primitive based on topology t.  uint max_indices The maximum number of indices (max_primitive * indices_per_primitive).  Call the following member function to set the vertex at index I in the range [0, max_vertices):    void set_vertex(uint I, V v);  If P is not void, call the following member function to set the primitive at index I in the range [0, max_primitive):    void set_primitive(uint I, P p);  Call the following member to set the primitive count where c is in the range [0, max_primitive]:    void set_primitive_count(uint c);   Call the following member to set the index where I is in the range [0, max_indices):    void set_index(uint I, uchar v);  It is legal to call the following set_indices functions to set the indices if the position in the index buffer is valid and if the position in the index buffer is a multiple of 2 (uchar2 overload) or 2 (uchar4 overload). The index I needs to be in the range [0, max_indices).   void set_indices(uint I, uchar2 v);    void set_indices(uint I, uchar4 v);"
Table 5.1,"Intersection function primitive types Primitive type Description triangle Indicates that this is an intersection function that extends the default triangle intersection test. bounding_box Indicates that this is an intersection function which is run when a ray intersects the bounding box.  curve All OS:  Metal 3.1 and later. Indicates that this is an intersection function that extends the default curve intersection test.  You may pass zero or more intersection tags as described in Table 2.9 from section 2.17. Some examples are:  [[intersection(triangle, triangle_data, instancing,   world_space_data)]] bool triangleIntersectionFunction(...) {…}  [[intersection(bounding_box, triangle_data, instancing,   world_space_data)]] UserResult boundingBoxIntersectionFunction(...) {…}  The intersection function primitive_type and intersection_tags control the allowable input and output attributes (see Section 5.2.3.7). Intersection functions support passing buffer arguments from device and constant address space. Intersection functions don’t support passing texture arguments to an intersection function. However, you can pass a texture using an argument buffer.  Intersection functions don’t support threadgroup memory.  Intersection functions don’t support threadgroup_barrier or simdgroup_barrier. If they are used, the result is undefined. Intersection functions may or may not be run in the same SIMD-group as the thread which launched the intersection operation: The implementation is permitted to regroup or repack candidate intersections to improve efficiency before launching SIMD-groups to do intersection testing.  If the acceleration structure traversal finds a procedural box primitive, and the intersection function is a triangle tester (or vice versa), this is an application error and behavior is undefined."
Table 5.2,Attributes for vertex function input arguments Attribute Corresponding data types Description amplification_count macOS: Metal 2.3 and later iOS: Metal 2.2 and later iPadOS and visionOS: Always.
Table 6.1,"Common functions in the Metal standard library Built-in common functions Description T clamp(T x, T minval,          T maxval)  Returns fmin(fmax(x, minval), maxval).  Results are undefined if minval > maxval. T mix(T x, T y, T a)    Returns the linear blend of x and y implemented as: x + (y – x) * a   or:  (1 -a) * x + a * y  a needs to be a value in the range 0.0 to 1.0. If a is not in the range 0.0 to 1.0, the return values are undefined. T saturate(T x) Clamp the specified value within the range of 0.0 to 1.0. T sign(T x) Returns 1.0 if x > 0, -0.0 if x = -0.0, +0.0 if x = +0.0, or -1.0 if x < 0. Returns 0.0 if x is a NaN. T smoothstep(T edge0, T edge1,               T x)   Returns 0.0 if x <= edge0, and 1.0 if x >= edge1 and performs a smooth Hermite interpolation between 0 and 1 when edge0 < x < edge1. This is useful in cases where you want a threshold function with a smooth transition.  This is equivalent to: t = clamp((x – edge0)/(edge1 – edge0), 0, 1); return t * t * (3 – 2 * t);  Results are undefined if edge0 >= edge1 or if x, edge0, or edge1 is a NaN. T step(T edge, T x) Returns 0.0 if x < edge; otherwise, it returns 1.0.  For single precision floating-point, Metal also supports a precise and fast variant of the following common functions: clamp and saturate. The difference between the Fast and precise function variants handle NaNs differently. In the fast variant, the behavior of NaNs is undefined, whereas the precise variants follow the IEEE 754 rules for NaN handling. The ffast-math compiler option (refer to section 1.6.3) selects the appropriate variant when"
Table 6.3,"Relational functions in the Metal standard library Built-in relational functions Description bool all(Tb x)  Returns true only if all components of x are true. bool any(Tb x) Returns true only if any component of x are true. Tb isfinite(T x) Test for finite value. Tb isinf(T x) Test for infinity value (positive or negative). Tb isnan(T x) Test for a NaN. Tb isnormal(T x)  Test for a normal value. Tb isordered(T x, T y) Test if arguments are ordered. isordered() takes arguments x and y and returns the result  (x == x) && (y == y). Tb isunordered(T x, T y) Test if arguments are unordered. isunordered() takes arguments x and y and returns true if x or y is NaN; otherwise, returns false. Tb not(Tb x) Returns the componentwise logical complement of x. T select(T a, T b, Tb c)  Ti select(Ti a,           Ti b,            Tb c)"
Table 6.13,Memory flag enumeration values for barrier functions Memory flags (mem_flags) Description mem_none The flag sets threadgroup_barrier or simdgroup_barrier to only act as an execution barrier and doesn’t apply a Memory fence. mem_device The flag ensures the GPU correctly orders the memory operations to device memory for threads in the threadgroup or SIMD-group. mem_threadgroup The flag ensures the GPU correctly orders the memory operations to threadgroup memory for threads in a threadgroup or SIMD-group.  mem_texture macOS: Metal 1.2 and later. iOS: Metal 2 and later. iPadOS and visionOS: Always.
Table 6.20,"Samples fragment functions in the Metal standard library Built-in fragment functions Description uint get_num_samples() Returns the number of samples for the multisampled color attachment. float2 get_sample_position(uint index) Returns the normalized sample offset (x, y) for a given sample index index. Values of x and y are in [0.0 … 1.0].  If you have customized sample positions (set with the setSamplePositions:count: method of MTLRenderPassDescriptor), get_sample_position(index) returns the position programmed for the specified index.  6.11.1.3 Fragment Functions — Flow Control The Metal function in Table 6.21 terminates a fragment.   Table 6.21. Fragment flow control function in the Metal standard library Built-in fragment functions Description void discard_fragment(void) Marks the current fragment as terminated and discards this fragment's output of the fragment function.  Writes to a buffer or texture from a fragment thread made before calling discard_fragment are not discarded. Multiple fragment threads or helper threads associated with a fragment thread execute together to compute derivatives. In Metal 2.2 and earlier, if any (but not all) of these threads executes the discard_fragment function, the thread is terminated and the behavior of any derivative computations (explicit or implicit) is undefined. In Metal 2.3 and later, discard_fragment marks the fragment as terminated while continuing to execute in parallel and has no effect on whether derivatives are defined. Even though execution continues, the write behavior remains the same as before. The fragment will discard the fragment output and discard all writes to buffer or texture after discard_fragment.  6.12 Pull-Model Interpolation All OS: Metal 2.3 and later support pull-model interpolation. The interpolant type interpolant<T,P> (section 2.18) and associated methods are defined in <metal_interpolate>. In a fragment function, you explicitly interpolate the values of a interpolant<T,P> type by invoking its methods, as shown below. The interpolant may be"
Table 6.31,Intersection query functions with max_levels<Count> Functions Triangle Bounding Curve  uint get_candidate_instance_count() All OS: Metal 3.1 and later.
Table 6.33,Intersection query candidate value functions Candidate intersections value functions Triangle Bounding Curve float get_candidate_triangle_distance()
Table 6.34,Intersect query committed value functions Committed intersections value functions Triangle Bounding Curve float get_committed_distance()
